Reference,Compare,KM or KNM,# Cells,# CMCs
Fadul B,Fadul I,KNM,31,0
Fadul B,Fadul K,KNM,31,0
Fadul B,Fadul L,KNM,31,0
Fadul B,Fadul M,KNM,31,0
Fadul B,Fadul P,KNM,31,0
Fadul B,Fadul Q,KNM,31,0
Fadul B,Fadul R,KNM,31,0
Fadul B,Fadul X,KNM,31,0
Fadul B,Fadul Y,KNM,31,0
Fadul B,Fadul Z,KNM,31,0
Fadul B,Fadul E,KNM,31,0
Fadul B,Fadul N,KNM,31,0
Fadul B,Fadul O,KNM,31,0
Fadul B,Fadul S,KNM,31,0
Fadul B,Fadul T,KNM,31,1
Fadul C,Fadul F,KNM,33,0
Fadul C,Fadul H,KNM,33,0
Fadul C,Fadul I,KNM,33,0
Fadul C,Fadul K,KNM,33,0
Fadul C,Fadul L,KNM,33,0
Fadul C,Fadul M,KM,33,25
Fadul C,Fadul P,KNM,33,0
Fadul C,Fadul Q,KNM,33,0
Fadul C,Fadul R,KNM,33,0
Fadul C,Fadul X,KNM,33,0
Fadul C,Fadul Y,KNM,33,0
Fadul C,Fadul Z,KNM,33,0
Fadul C,Fadul E,KNM,33,0
Fadul C,Fadul N,KNM,33,0
Fadul C,Fadul O,KNM,33,0
Fadul C,Fadul S,KNM,33,0
Fadul C,Fadul T,KNM,33,0
Fadul F,Fadul H,KNM,31,0
Fadul F,Fadul I,KNM,31,0
Fadul F,Fadul K,KNM,31,0
Fadul F,Fadul L,KNM,31,0
Fadul F,Fadul M,KNM,31,0
Fadul F,Fadul P,KNM,31,0
Fadul F,Fadul Q,KNM,31,0
Fadul F,Fadul R,KNM,31,0
Fadul F,Fadul X,KNM,31,0
Fadul F,Fadul Y,KNM,31,1
Fadul F,Fadul Z,KNM,31,0
Fadul F,Fadul E,KNM,31,0
Fadul F,Fadul N,KNM,31,0
Fadul F,Fadul O,KNM,31,0
Fadul F,Fadul S,KNM,31,0
Fadul F,Fadul T,KNM,31,0
Fadul H,Fadul I,KNM,35,0
Fadul H,Fadul K,KNM,35,0
Fadul H,Fadul L,KNM,35,0
Fadul H,Fadul M,KNM,35,0
Fadul H,Fadul P,KNM,35,1
Fadul H,Fadul Q,KNM,35,0
Fadul H,Fadul R,KNM,35,0
Fadul H,Fadul X,KNM,35,0
Fadul H,Fadul Y,KNM,35,0
Fadul H,Fadul Z,KNM,35,0
Fadul H,Fadul E,KNM,35,0
Fadul H,Fadul N,KM,35,24
Fadul H,Fadul O,KNM,35,0
Fadul H,Fadul S,KNM,35,0
Fadul H,Fadul T,KNM,35,0
Fadul I,Fadul K,KNM,34,0
Fadul I,Fadul L,KNM,34,0
Fadul I,Fadul M,KNM,34,0
Fadul I,Fadul P,KNM,34,0
Fadul I,Fadul Q,KNM,34,0
Fadul I,Fadul R,KNM,34,0
Fadul I,Fadul X,KNM,34,0
Fadul I,Fadul Y,KNM,34,0
Fadul I,Fadul Z,KNM,34,0
Fadul I,Fadul E,KNM,34,0
Fadul I,Fadul N,KNM,34,0
Fadul I,Fadul O,KM,34,28
Fadul I,Fadul S,KNM,34,0
Fadul I,Fadul T,KNM,34,0
Fadul K,Fadul L,KNM,33,0
Fadul K,Fadul M,KNM,33,0
Fadul K,Fadul P,KNM,33,0
Fadul K,Fadul Q,KNM,33,0
Fadul K,Fadul R,KNM,33,1
Fadul K,Fadul X,KNM,33,0
Fadul K,Fadul Y,KNM,33,0
Fadul K,Fadul Z,KNM,33,0
Fadul K,Fadul E,KNM,33,1
Fadul K,Fadul N,KNM,33,0
Fadul K,Fadul O,KNM,33,0
Fadul K,Fadul S,KNM,33,0
Fadul K,Fadul T,KNM,33,0
Fadul L,Fadul M,KNM,31,0
Fadul L,Fadul P,KNM,31,0
Fadul L,Fadul Q,KNM,31,0
Fadul L,Fadul R,KNM,31,0
Fadul L,Fadul X,KNM,31,0
Fadul L,Fadul Y,KNM,31,0
Fadul L,Fadul Z,KNM,31,1
Fadul L,Fadul E,KM,31,31
Fadul L,Fadul N,KNM,31,0
Fadul L,Fadul O,KNM,31,0
Fadul L,Fadul S,KNM,31,0
Fadul L,Fadul T,KNM,31,0
Fadul M,Fadul P,KNM,27,0
Fadul M,Fadul Q,KNM,27,0
Fadul M,Fadul R,KNM,27,0
Fadul M,Fadul X,KNM,27,0
Fadul M,Fadul Y,KNM,27,1
Fadul M,Fadul Z,KNM,27,0
Fadul M,Fadul E,KNM,27,0
Fadul M,Fadul N,KNM,27,0
Fadul M,Fadul O,KNM,27,0
Fadul M,Fadul S,KNM,27,0
Fadul M,Fadul T,KNM,27,0
Fadul P,Fadul Q,KM,30,23
Fadul P,Fadul R,KNM,30,0
Fadul P,Fadul X,KM,30,24
Fadul P,Fadul Y,KNM,30,0
Fadul P,Fadul Z,KNM,30,0
Fadul P,Fadul E,KNM,30,0
Fadul P,Fadul N,KNM,30,0
Fadul P,Fadul O,KNM,30,0
Fadul P,Fadul S,KNM,30,0
Fadul P,Fadul T,KNM,30,0
Fadul Q,Fadul R,KNM,28,0
Fadul Q,Fadul X,KM,28,21
Fadul Q,Fadul Y,KNM,28,0
Fadul Q,Fadul Z,KNM,28,0
Fadul Q,Fadul E,KNM,28,0
Fadul Q,Fadul N,KNM,28,0
Fadul Q,Fadul O,KNM,28,0
Fadul Q,Fadul S,KNM,28,0
Fadul Q,Fadul T,KNM,28,0
Fadul R,Fadul X,KNM,32,0
Fadul R,Fadul Y,KM,32,20
Fadul R,Fadul Z,KNM,32,0
Fadul R,Fadul E,KNM,32,0
Fadul R,Fadul N,KNM,32,0
Fadul R,Fadul O,KNM,32,0
Fadul R,Fadul S,KM,32,22
Fadul R,Fadul T,KNM,32,0
Fadul X,Fadul Y,KNM,30,0
Fadul X,Fadul Z,KNM,30,0
Fadul X,Fadul E,KNM,30,0
Fadul X,Fadul N,KNM,30,0
Fadul X,Fadul O,KNM,30,0
Fadul X,Fadul S,KNM,30,0
Fadul X,Fadul T,KNM,30,0
Fadul Y,Fadul Z,KNM,32,0
Fadul Y,Fadul E,KNM,32,0
Fadul Y,Fadul N,KNM,32,0
Fadul Y,Fadul O,KNM,32,0
Fadul Y,Fadul S,KM,32,28
Fadul Y,Fadul T,KNM,32,0
Fadul Z,Fadul E,KNM,33,0
Fadul Z,Fadul N,KNM,33,0
Fadul Z,Fadul O,KNM,33,0
Fadul Z,Fadul S,KNM,33,0
Fadul Z,Fadul T,KM,33,30
Fadul E,Fadul N,KNM,31,0
Fadul E,Fadul O,KNM,31,0
Fadul E,Fadul S,KNM,31,0
Fadul E,Fadul T,KNM,31,0
Fadul N,Fadul O,KNM,28,0
Fadul N,Fadul S,KNM,28,0
Fadul N,Fadul T,KNM,28,0
Fadul O,Fadul S,KNM,32,0
Fadul O,Fadul T,KNM,32,0
Fadul S,Fadul T,KNM,28,0
